Date|Rate
2011-01-03 | 3
2011-01-03 | 3
2011-02-03 | 3
2011-03-03 | 3
2011-04-03 | 3
2012-05-03 | 3
2013-06-04 | 3
2014-07-05 | 4
2015-08-06 | 6
2016-09-17 | 7
2017-10-18 | 8
2018-01-29 | 12
2019-01-10 | 22
2010-02-11 | 35
2012-03-12 | 46
2014-04-13 | 500
2016-05-24 | 61
2015-07-25 | 73
2016-10-16 | 8
2017-11-17 | 10
2018-12-18 | 10
2019-03-19 | 12
2020-04-20 | 12
2021-02-21 | 2
2022-02-13 | 1
2011-02-13 | 2
2011-01-13 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
